roll_id,paper_type,weight,warehouse,location
SW714J1722237,80OPSMATCVR18,1170,WH1,10
SW714J1722246,80OPSMATCVR18,1166,WH1,10
SW714J1722109,80OPSMATCVR18,1172,WH1,10
SW714J1722100,80OPSMATCVR18,1160,WH1,10
SW714J1722128,80OPSMATCVR18,1172,WH1,10
SW714J1722146,80OPSMATCVR18,1162,WH1,10
SW714J1722118,80OPSMATCVR18,1170,WH1,10
SW714J1722137,80OPSMATCVR18,1166,WH1,10
SW714J1722218,80OPSMATCVR18,1172,WH1,10
SW714J1722228,80OPSMATCVR18,1176,WH1,10
SW714J1722209,80OPSMATCVR18,1174,WH1,10
W15M23022L,50PHXOFF15FSC,1685,WH1,10
W15M23034F,50PHXOFF15FSC,1706,WH1,10
W15M22101F,50PHXOFF15FSC,1704,WH1,10
W15M22213L,50PHXOFF15FSC,1684,WH1,10
W15M22212E,50PHXOFF15FSC,1691,WH1,10
W15M22214F,50PHXOFF15FSC,1695,WH1,10
W15M22214L,50PHXOFF15FSC,1695,WH1,10
W15M23021E,50PHXOFF15FSC,1690,WH1,10
W15M23021Z,50PHXOFF15FSC,1684,WH1,10
W15M22213E,50PHXOFF15FSC,1690,WH1,10
W15M22211Z,50PHXOFF15FSC,1684,WH1,10
W15C05031D,50PHXOFF15FSC,1703,WH1,10
DTJ15J2903234,50LYNXSM28.50MF,1662,WH1,10
DTJ15J2910299,50LYNXSM28.50MF,1655,WH1,10
SW715M1903339,105SOMMAT38,2447,WH1,10
SW715M1903300,105SOMMAT38,2451,WH1,10
DTJ15J2903100,50LYNXSM28.50MF,1658,WH1,10
DTJ15J2904318,50LYNXSM28.50MF,1660,WH1,10
DTJ15J2910265,50LYNXSM28.50MF,1656,WH1,10
DTJ15J2903134,50LYNXSM28.50MF,1657,WH1,10
DTJ15J2910334,50LYNXSM28.50MF,1656,WH1,10
SW715M1903319,105SOMMAT38,2463,WH1,10
W15J18203D,50PHXOFF21FSC6C,2366,WH1,10
SW396A2024125,68SOMGLCVRSFI18,1319,WH1,10
SW396A2024131,68SOMGLCVRSFI18,1315,WH1,10
SW396A2112401,68SOMGLCVRSFI18,1314,WH1,10
SW396A2112461,68SOMGLCVRSFI18,1300,WH1,10
SW396A2113219,68SOMGLCVRSFI18,1365,WH1,10
SW396A2113301,68SOMGLCVRSFI18,1302,WH1,10
SW396A2113201,68SOMGLCVRSFI18,1307,WH1,10
SW316B1815400,68SOMGLCVRSFI18,1284,WH1,10
SW316B1815213,68SOMGLCVRSFI18,1308,WH1,10
SW396A2113213,68SOMGLCVRSFI18,1315,WH1,10
SW396A2113313,68SOMGLCVRSFI18,1315,WH1,10
SW396A2113319,68SOMGLCVRSFI18,1319,WH1,10
SW396A2025313,68SOMGLCVRSFI18,1296,WH1,10
SW396A2026175,68SOMGLCVRSFI18,1301,WH1,10
SW396A2101561,68SOMGLCVRSFI18,1300,WH1,10
SW396A2101519,68SOMGLCVRSFI18,1313,WH1,10
SW396A2026187,68SOMGLCVRSFI18,1252,WH1,10
SW396A2113361,68SOMGLCVRSFI18,1302,WH1,10
SW316B1815413,68SOMGLCVRSFI18,1306,WH1,10
SW316B1815306,68SOMGLCVRSFI18,1296,WH1,10
SW316B1815319,68SOMGLCVRSFI18,1316,WH1,10
SW316B1815300,68SOMGLCVRSFI18,1290,WH1,10
SW316B1815419,68SOMGLCVRSFI18,1310,WH1,10
SW316B1815506,68SOMGLCVRSFI18,1292,WH1,10
SW316B1815500,68SOMGLCVRSFI18,1288,WH1,10
SW316B1815513,68SOMGLCVRSFI18,1308,WH1,10
SW396A2113261,68SOMGLCVRSFI18,1166,WH1,10
24356060016,60PPLUS35,1781,WH1,10
24356060019,60PPLUS35,1781,WH1,10
24356060017,60PPLUS35,1781,WH1,10
24056050010,50PPLUS35,1778,WH1,10
24056090030,50PPLUS35,1780,WH1,10
7F6B22212B,50PENFSC23,2644,WH1,10
7F6B22212A,50PENFSC23,2644,WH1,10
7F6B22211K,50PENFSC23,2640,WH1,10
7F6B22201G,50PENFSC23,2642,WH1,10
7F6B22203D,50PENFSC23,2650,WH1,10
7F6B22203K,50PENFSC23,2640,WH1,10
7F6B22201B,50PENFSC23,2660,WH1,10
7F6B22202H,50PENFSC23,2644,WH1,10
7F6B22203G,50PENFSC23,2648,WH1,10
7F6B22211B,50PENFSC23,2636,WH1,10
7F6B22211D,50PENFSC23,2642,WH1,10
7F6B22211G,50PENFSC23,2642,WH1,10
7F6B22202K,50PENFSC23,2640,WH1,10
7F6B22202E,50PENFSC23,2640,WH1,10
7F6B22201Z,50PENFSC23,2634,WH1,10
7F6B22201D,50PENFSC23,2638,WH1,10
7F6B22241D,50PENFSC23,2781,WH1,10
7F6B22241A,50PENFSC23,2795,WH1,10
7F6B22241H,50PENFSC23,2785,WH1,10
7F6B23024D,50PENFSC23,2769,WH1,10
7F6B23022D,50PENFSC23,2813,WH1,10
7F6B23053B,50PENFSC23,2851,WH1,10
7F6B23024E,50PENFSC23,2775,WH1,10
7F6B23024A,50PENFSC23,2775,WH1,10
SW316A2110518,68SOMGLCFSC25.5,1868,WH1,09
SW316A2102248,68SOMGLCFSC25.5,1854,WH1,09
SW316A2026140,68SOMGLCFSC25.5,1854,WH1,09
SW316A2109127,68SOMGLCFSC25.5,1854,WH1,09
SW316A2109281,68SOMGLCFSC25.5,1850,WH1,09
SW316A2104127,68SOMGLCFSC25.5,1912,WH1,09
SW316A2104268,68SOMGLCFSC25.5,1910,WH1,09
SW316A2110327,68SOMGLCFSC25.5,1858,WH1,09
SW316A2025340,68SOMGLCFSC25.5,1860,WH1,09
SW316A2025440,68SOMGLCFSC25.5,1856,WH1,09
SW316A2105268,68SOMGLCFSC25.5,1842,WH1,09
SW316A2105177,68SOMGLCFSC25.5,1830,WH1,09
SW316A2105318,68SOMGLCFSC25.5,1852,WH1,09
SW316A2105127,68SOMGLCFSC25.5,1846,WH1,09
SW316A2105418,68SOMGLCFSC25.5,1856,WH1,09
SW316A2105477,68SOMGLCFSC25.5,1836,WH1,09
SW316A2025240,68SOMGLCFSC25.5,1858,WH1,09
SW316A2025540,68SOMGLCFSC25.5,1866,WH1,09
SW316A2111581,68SOMGLCFSC25.5,1858,WH1,09
SW316A2111499,68SOMGLCFSC25.5,1858,WH1,09
SW316A2112431,68SOMGLCFSC25.5,1854,WH1,09
SW316A2113240,68SOMGLCFSC25.5,1866,WH1,09
SW316A2115136,68SOMGLCFSC25.5,1848,WH1,09
SW316A2115324,68SOMGLCFSC25.5,1864,WH1,09
SW316A2114352,68SOMGLCFSC25.5,1865,WH1,09
SW316A2114270,68SOMGLCFSC25.5,1860,WH1,09
SW316A2113431,68SOMGLCFSC25.5,1866,WH1,09
SW316A2114370,68SOMGLCFSC25.5,1862,WH1,09
SW316A2115224,68SOMGLCFSC25.5,1860,WH1,09
SW316A2115118,68SOMGLCFSC25.5,1852,WH1,09
SW316A2111427,68SOMGLCFSC25.5,1860,WH1,09
SW316A2111599,68SOMGLCFSC25.5,1852,WH1,09
SW316A2114572,68SOMGLCFSC25.5,1864,WH1,09
SW316A2114527,68SOMGLCFSC25.5,1868,WH1,09
SW316A2115109,68SOMGLCFSC25.5,1834,WH1,09
SW316A2109227,68SOMGLCFSC25.5,1858,WH1,09
SW316A2114252,68SOMGLCFSC25.5,1868,WH1,09
SW316A2113249,68SOMGLCFSC25.5,1870,WH1,09
SW316A2113340,68SOMGLCFSC25.5,1862,WH1,09
SW316A2115424,68SOMGLCFSC25.5,1868,WH1,09
SW316A2108268,68SOMGLCFSC25.5,1856,WH1,09
Q10R19181G,50INFMAT35,2775,WH1,09
3F8K14142D,50INFMAT35,2846,WH1,09
3F8K14142G,50INFMAT35,2851,WH1,09
3F8K15021Z,50INFMAT35,2687,WH1,09
Q10R19182G,50INFMAT35,2778,WH1,09
3F8K14142F,50INFMAT35,2852,WH1,09
7F5L11102Z,70PENFSCOFF35,2060,WH1,09
Q10T12222A,50INFMAT35,2761,WH1,09
Q10R19183G,50INFMAT35,2704,WH1,09
Q10R19173G,50INFMAT35,2767,WH1,09
3F8K14143G,50INFMAT35,2829,WH1,09
Q10T12202A,50INFMAT35,2739,WH1,09
7F5L11052N,70PENFSCOFF35,2220,WH1,09
7F5J09121A,70PENFSCOFF35,2138,WH1,09
7F5J09161D,70PENFSCOFF35,2043,WH1,09
7F5J09123Z,70PENFSCOFF35,2116,WH1,09
7F5L11052Z,70PENFSCOFF35,2212,WH1,09
7F5J09161A,70PENFSCOFF35,2041,WH1,09
7F5J09132A,70PENFSCOFF35,2154,WH1,09
7F5L11083Z,70PENFSCOFF35,2130,WH1,09
7F5J09222Z,70PENFSCOFF35,2166,WH1,09
362144,70PENFSCOFF35,2057,WH1,09
7F5L11053N,70PENFSCOFF35,2226,WH1,09
7F5L11084N,70PENFSCOFF35,2224,WH1,09
7F5L11084Z,70PENFSCOFF35,2218,WH1,09
7F5L11051Z,70PENFSCOFF35,2224,WH1,09
7F5J09133A,70PENFSCOFF35,2190,WH1,09
7F5J09203Z,70PENFSCOFF35,2055,WH1,09
7F5J09093Z,70PENFSCOFF35,2025,WH1,09
7F5L11051N,70PENFSCOFF35,2236,WH1,09
SW336C0531139,60SOMRECMAT32.5,2557,WH1,09
SW336C0603322,60SOMRECMAT32.5,2587,WH1,09
SW336C0529311,60SOMRECMAT32.5,2570,WH1,09
SW336C0602342,60SOMRECMAT32.5,2565,WH1,09
SW336C0602311,60SOMRECMAT32.5,2571,WH1,09
7F5J09132Z,70PENFSCOFF35,2154,WH1,09
SW336C0604111,60SOMRECMAT32.5,2552,WH1,09
W15J18181D,50PHXOFF21FSC6C,2330,WH1,08
W15J18163D,50PHXOFF21FSC6C,2370,WH1,08
W15J18184D,50PHXOFF21FSC6C,2394,WH1,08
W15J18091D,50PHXOFF21FSC6C,2348,WH1,08
W15J18042D,50PHXOFF21FSC6C,2344,WH1,08
W15J18031D,50PHXOFF21FSC6C,2298,WH1,08
W15J18053D,50PHXOFF21FSC6C,2363,WH1,08
W15J18104D,50PHXOFF21FSC6C,2353,WH1,08
W15J18173D,50PHXOFF21FSC6C,2395,WH1,08
W15J18093D,50PHXOFF21FSC6C,2357,WH1,08
W15J18033D,50PHXOFF21FSC6C,2355,WH1,08
SW715B2611359,80OPSMATCR23FSC,1494,WH1,08
SW715B2611400,80OPSMATCR23FSC,1420,WH1,08
SW715B2609312,80OPSMATCR23FSC,1470,WH1,08
SW715B2611447,80OPSMATCR23FSC,1414,WH1,08
SW715B2609247,80OPSMATCR23FSC,1456,WH1,08
SW715B2609259,80OPSMATCR23FSC,1460,WH1,08
SW715B2611435,80OPSMATCR23FSC,1424,WH1,08
SW336B2205334,70SOMMAT26.50,2041,WH1,08
SW335M2503269,70SOMMAT26.50,2042,WH1,08
SW335M2501159,70SOMMAT26.50,2040,WH1,08
SW335M2502359,70SOMMAT26.50,2049,WH1,08
SW336B2205378,70SOMMAT26.50,2024,WH1,08
SW336B2205269,70SOMMAT26.50,2027,WH1,08
SW336B2205309,70SOMMAT26.50,2029,WH1,08
SW335M2501259,70SOMMAT26.50,2052,WH1,08
SW335M2501369,70SOMMAT26.50,2046,WH1,08
SW716C0104439,80OPMATCVRFSC38,2501,WH1,08
SW716C0104319,80OPMATCVRFSC38,2495,WH1,08
SW716C0104419,80OPMATCVRFSC38,2475,WH1,08
SW716C0104458,80OPMATCVRFSC38,2509,WH1,08
SW716C0104400,80OPMATCVRFSC38,2509,WH1,08
SW336C0821399,80SOMGL22SFI,1778,WH1,08
SW336C0821199,80SOMGL22SFI,1845,WH1,08
SW336C0825200,80SOMGL22SFI,1853,WH1,08
SW336C0821300,80SOMGL22SFI,1781,WH1,08
SW336C0821100,80SOMGL22SFI,1856,WH1,08
SW716C0104358,80OPMATCVRFSC38,2501,WH1,08
SW716C0104499,80OPMATCVRFSC38,2513,WH1,08
SW336C0825100,80SOMGL22SFI,1854,WH1,08
SW336C0825299,80SOMGL22SFI,1860,WH1,08
SW336C0825399,80SOMGL22SFI,1761,WH1,08
SW336C0825199,80SOMGL22SFI,1860,WH1,08
SW336C0825300,80SOMGL22SFI,1761,WH1,08
SW336C0821299,80SOMGL22SFI,1860,WH1,08
SW336C0821200,80SOMGL22SFI,1866,WH1,08
U6573 A     0023,40ROSOFF30,1716,WH1,08
U6573 A     0016,40ROSOFF30,1702,WH1,08
U6573 A     0019,40ROSOFF30,1705,WH1,08
U6573 A     0022,40ROSOFF30,1703,WH1,08
U6573 A     0015,40ROSOFF30,1706,WH1,08
U6573 A     0025,40ROSOFF30,1692,WH1,08
SW334K1807200,70SOMMAT26.50,2041,WH1,08
7REF09111C,61437,3141,WH1,08
7REF10062B,61437,3175,WH1,08
1913099,80SUSOPTX35,2092,WH1,08
U6573 A     0017,40ROSOFF30,1700,WH1,08
U6573 A     0021,40ROSOFF30,1715,WH1,08
SW335M0718100,80OPSDLL26.5,2091,WH1,08
SW335M0716209,80OPSDLL26.5,2105,WH1,08
SW335M0716309,80OPSDLL26.5,2110,WH1,08
SW335M0718109,80OPSDLL26.5,2101,WH1,08
SW335M0718299,80OPSDLL26.5,2106,WH1,08
SW335M0720109,80OPSDLL26.5,2092,WH1,08
SW335M0718399,80OPSDLL26.5,2114,WH1,08
SW335M0720299,80OPSDLL26.5,2095,WH1,08
SW335M0716331,80OPSDLL26.5,2095,WH1,08
SW335M0718199,80OPSDLL26.5,2096,WH1,08
SW335M0716399,80OPSDLL26.5,2113,WH1,08
SW335M0718131,80OPSDLL26.5,2093,WH1,08
SW335M0716300,80OPSDLL26.5,2099,WH1,08
SW335M0720100,80OPSDLL26.5,2084,WH1,08
SW335M0716231,80OPSDLL26.5,2092,WH1,08
SW335M0716100,80OPSDLL26.5,2091,WH1,08
SW335M0716299,80OPSDLL26.5,2102,WH1,08
SW335M0716131,80OPSDLL26.5,2089,WH1,08
25834070010,60PPLUS18,914,WH1,08
25834070009,60PPLUS18,914,WH1,08
258340180026,60PPOFF18,914,WH1,08
258340180025,60PPOFF18,917,WH1,08
258340180036,60PPOFF18,914,WH1,08
258340180035,60PPOFF18,914,WH1,08
258340180023,60PPOFF18,914,WH1,08
258340180024,60PPOFF18,914,WH1,08
258340180021,60PPOFF18,914,WH1,08
258340180022,60PPOFF18,914,WH1,08
258340180031,60PPOFF18,914,WH1,08
258340180032,60PPOFF18,914,WH1,08
258340180029,60PPOFF18,914,WH1,08
258340180030,60PPOFF18,914,WH1,08
258340180017,60PPOFF18,917,WH1,08
258340180018,60PPOFF18,917,WH1,08
SW395M2526221,80SOMSAT18FSC,1454,WH1,07
SW395M2525244,80SOMSAT18FSC,1450,WH1,07
SW395M2525231,80SOMSAT18FSC,1441,WH1,07
SW395M2525225,80SOMSAT18FSC,1454,WH1,07
SW395M2525238,80SOMSAT18FSC,1451,WH1,07
SW395M2523168,80SOMSAT18FSC,1448,WH1,07
SW395M2521162,80SOMSAT18FSC,1439,WH1,07
SW395M2521355,80SOMSAT18FSC,1449,WH1,07
SW395M2527144,80SOMSAT18FSC,1417,WH1,07
SW395M253162,80SOMSAT18FSC,1446,WH1,07
SW395M2521149,80SOMSAT18FSC,1438,WH1,07
SW395M2526172,80SOMSAT18FSC,1447,WH1,07
SW395M2526178,80SOMSAT18FSC,1450,WH1,07
SW395M2527131,80SOMSAT18FSC,1440,WH1,07
SW395M2526259,80SOMSAT18FSC,1459,WH1,07
SW395M2521349,80SOMSAT18FSC,1446,WH1,07
SW395M2527125,80SOMSAT18FSC,1440,WH1,07
SW395M2521362,80SOMSAT18FSC,1449,WH1,07
SW395M2521368,80SOMSAT18FSC,1451,WH1,07
SW395M2521155,80SOMSAT18FSC,1435,WH1,07
SW395M2527138,80SOMSAT18FSC,1436,WH1,07
SW395M2521168,80SOMSAT18FSC,1437,WH1,07
SW395M2526278,80SOMSAT18FSC,1452,WH1,07
SW395M2526265,80SOMSAT18FSC,1450,WH1,07
SW395M2526272,80SOMSAT18FSC,1448,WH1,07
SW395M2526159,80SOMSAT18FSC,1448,WH1,07
SW395M2526165,80SOMSAT18FSC,1447,WH1,07
SW395M2526240,80SOMSAT18FSC,1457,WH1,07
SW395M2526227,80SOMSAT18FSC,1453,WH1,07
SW395M2526234,80SOMSAT18FSC,1450,WH1,07
SW395M2526372,80SOMSAT18FSC,1409,WH1,07
SW395M2526365,80SOMSAT18FSC,1402,WH1,07
SW395M2523149,80SOMSAT18FSC,1439,WH1,07
SW395M2523155,80SOMSAT18FSC,1448,WH1,07
SW395M2526334,80SOMSAT18FSC,1403,WH1,07
SW395M2526327,80SOMSAT18FSC,1398,WH1,07
SW395M2526321,80SOMSAT18FSC,1399,WH1,07
SW395M2526340,80SOMSAT18FSC,1400,WH1,07
SW395M2526127,80SOMSAT18FSC,1445,WH1,07
SW395M2526140,80SOMSAT18FSC,1453,WH1,07
SW395M2525338,80SOMSAT18FSC,1451,WH1,07
SW395M2525331,80SOMSAT18FSC,1445,WH1,07
SW395M2521268,80SOMSAT18FSC,1444,WH1,07
SW395M2521255,80SOMSAT18FSC,1442,WH1,07
SW395M2526359,80SOMSAT18FSC,1403,WH1,07
SW395M2526378,80SOMSAT18FSC,1402,WH1,07
SW395M2525325,80SOMSAT18FSC,1450,WH1,07
SW395M2525344,80SOMSAT18FSC,1450,WH1,07
SW395M2525125,80SOMSAT18FSC,1446,WH1,07
SW395M2525144,80SOMSAT18FSC,1452,WH1,07
SW395M2525131,80SOMSAT18FSC,1452,WH1,07
SW395M2523249,80SOMSAT18FSC,1453,WH1,07
SW395M2523268,80SOMSAT18FSC,1450,WH1,07
SW395J2507240,80SOMSAT18FSC,1458,WH1,07
SW395J2507340,80SOMSAT18FSC,1456,WH1,07
SW395M1005343,80SOMSAT18FSC,1438,WH1,07
SW395M2526134,80SOMSAT18FSC,1451,WH1,07
SW395M2526121,80SOMSAT18FSC,1452,WH1,07
SW395M2521262,80SOMSAT18FSC,1441,WH1,07
SW395M2521249,80SOMSAT18FSC,1445,WH1,07
SW395M252325Z,80SOMSAT18FSC,1429,WH1,07
SW395M2523262,80SOMSAT18FSC,1452,WH1,07
SW395M2525138,80SOMSAT18FSC,1448,WH1,07
SW39/DJ2507234,80SOMSAT18FSC,1450,WH1,07
SW395M1005111,80SOMSAT18FSC,1422,WH1,07
SW395M1005117,80SOMSAT18FSC,1424,WH1,07
7S5H09021B,60ORIONGL35PB,3131,WH1,07
7R5H09021C,60ORIONGL35PB,3171,WH1,07
7W5H31152C,FSC70ORMAT35.5,2577,WH1,07
7W5H31133C,FSC70ORMAT35.5,2573,WH1,07
SW334K1225211,62SOMSAT23,1957,WH1,07
SW334K1229399,62SOMSAT23,1895,WH1,07
SW334K1233100,62SOMSAT23,1903,WH1,07
SW334K1229199,62SOMSAT23,1935,WH1,07
SW334K1226211,62SOMSAT23,1935,WH1,07
SW394G0728301,62SOMSAT23,1799,WH1,07
SW334K1227100,62SOMSAT23,1927,WH1,07
SW334K1225111,62SOMSAT23,1939,WH1,07
SW334K1229311,62SOMSAT23,1898,WH1,07
SW335M0719300,80OPSDLL28,2225,WH1,07
SW335M0719349,80OPSDLL28,2254,WH1,07
SW335M0718176,80OPSDLL28,2223,WH1,07
SW334K1226399,62SOMSAT23,1927,WH1,07
SW334K1230300,62SOMSAT23,1933,WH1,07
SW334K1230200,62SOMSAT23,1932,WH1,07
SW334K1225299,62SOMSAT23,1955,WH1,07
SW335M0718258,80OPSDLL28,2219,WH1,07
SW335M0718219,80OPSDLL28,2220,WH1,07
SW335M0716276,80OPSDLL28,2227,WH1,07
SW335M0718238,80OPSDLL28,2227,WH1,07
SW335M0718153,80OPSDLL28,2212,WH1,07
SW335M0716376,80OPSDLL28,2237,WH1,07
SW335M0720228,80OPSDLL28,2200,WH1,07
SW335M0718338,80OPSDLL28,2227,WH1,07
SW335M0716353,80OPSDLL28,2219,WH1,07
SW335M0719329,80OPSDLL28,2249,WH1,07
SW335M0718278,80OPSDLL28,2230,WH1,07
SW335M0719310,80OPSDLL28,2270,WH1,07
SW335M0720338,80OPSDLL28,2222,WH1,07
7F6C02252C,50PENFSC23,2736,WH1,07
7F6C02251C,50PENFSC23,2698,WH1,07
7F6C02124C,50PENFSC23,2864,WH1,07
7F6C02234H,50PENFSC23,2737,WH1,07
7F6C02074B,50PENFSC23,2803,WH1,07
7F6C02253C,50PENFSC23,2716,WH1,07
7F6C02131C,50PENFSC23,2856,WH1,07
7F6C02073C,50PENFSC23,2835,WH1,07
7F6C02072C,50PENFSC23,2807,WH1,07
7F6C02121B,50PENFSC23,2783,WH1,07
7F6C02123C,50PENFSC23,2795,WH1,07
SW714L0721400,80SOMMATCVR35.5,2386,WH1,06
SW714L0721300,80SOMMATCVR35.5,2326,WH1,06
SW714L0715300,80SOMMATCVR35.5,2298,WH1,06
SW714L0715100,80SOMMATCVR35.5,2264,WH1,06
SW714L0715200,80SOMMATCVR35.5,2250,WH1,06
SW714L0715400,80SOMMATCVR35.5,2296,WH1,06
SW714L0723300,80SOMMATCVR35.5,2316,WH1,06
SW714L0723200,80SOMMATCVR35.5,2302,WH1,06
7W6C18152F,70ORIONMTFSC23,3292,WH1,06
7W6C18111Z,70ORIONMTFSC23,3338,WH1,06
7W6C18153E,70ORIONMTFSC23,3449,WH1,06
7W6C18112Z,70ORIONMTFSC23,3359,WH1,06
7W6C18163F,70ORIONMTFSC23,3326,WH1,06
7W6C18182Z,70ORIONMTFSC23,3444,WH1,06
7W6C18161F,70ORIONMTFSC23,3398,WH1,06
7W6C18201E,70ORIONMTFSC23,3395,WH1,06
7W6C18101C,70ORIONMTFSC23,3312,WH1,06
7W6C18181Z,70ORIONMTFSC23,3431,WH1,06
7W6C18162F,70ORIONMTFSC23,3258,WH1,06
7W6C18062C,70ORIONMTFSC23,3423,WH1,06
7W6C18061Z,70ORIONMTFSC23,3416,WH1,06
7W6C18041E,70ORIONMTFSC23,3293,WH1,06
7W6C18202E,70ORIONMTFSC23,3456,WH1,06
7W6C18032F,70ORIONMTFSC23,3459,WH1,06
7W6C18033F,70ORIONMTFSC23,3212,WH1,06
7W6C18132B,70ORIONMTFSC23,3423,WH1,06
7W6C18133Z,70ORIONMTFSC23,3363,WH1,06
7W6C18131A,70ORIONMTFSC23,3419,WH1,06
7W6C18063Z,70ORIONMTFSC23,3407,WH1,06
7W6C18043E,70ORIONMTFSC23,3485,WH1,06
7W6C18042F,70ORIONMTFSC23,3489,WH1,06
7W6C18151F,70ORIONMTFSC23,3512,WH1,06
7W6B15042B,70ORIONMTFSC23,3467,WH1,06
7W6B15052D,70ORIONMTFSC23,3422,WH1,06
7W6B15043B,70ORIONMTFSC23,3476,WH1,06
SW316C1003360,68SOMGLCFSC38,2721,WH1,05
SW316C1003200,68SOMGLCFSC38,2671,WH1,05
SW316C1003247,68SOMGLCFSC38,2715,WH1,05
SW316C1003471,68SOMGLCFSC38,2695,WH1,05
SW316C1003533,68SOMGLCFSC38,2731,WH1,05
SW316C1003571,68SOMGLCFSC38,2705,WH1,05
SW316C1003500,68SOMGLCFSC38,2695,WH1,05
SW316C1003313,68SOMGLCFSC38,2731,WH1,05
1729582,40RLLFSC34,2141,WH1,05
1729694,40RLLFSC34,2151,WH1,05
DWW78G1428430,60EAROPQ31,1856,WH1,05
DWW78G1428420,60EAROPQ31,1858,WH1,05
DWW78G1428410,60EAROPQ31,1858,WH1,05
DWW78K0275251,58609,1841,WH1,05
256572,105OPSMAT35.50,2263,WH1,05
SW391F2203347,80OPSSATXT17,1379,WH1,05
SW331D0527100,C60252,1366,WH1,05
J17371C,70MCOFF23.50,2887,WH1,05
J17342B,70MCOFF23.50,2888,WH1,05
SW334M2505236,60SOMMAT23,1780,WH1,05
SW334M2505100,60SOMMAT23,1768,WH1,05
SW334M2504336,60SOMMAT23,1783,WH1,05
256575,105OPSMAT35.50,2257,WH1,05
7ROJ28012C,65ORIONGL34.50,2823,WH1,05
7ROJ28012B,65ORIONGL34.50,2819,WH1,05
M998 C 0003,80ROMATT35,2313,WH1,05
7W3L10083B,100ORIONMAT33.5,2383,WH1,05
E14J14112D,50WILL24.5FSC,1475,WH1,05
SW331G0717200,60OPSATXT33,2735,WH1,05
SW712M3139232,105SOM16.50,1022,WH1,05
SW712M3139132,105SOM16.50,1018,WH1,05
SW712M3139432,105SOM16.50,1022,WH1,05
7W6A05141A,60ORIONMATFSC36,2678,WH1,05
SW715K1521100,87OPSGLCVR20,1524,WH1,05
